env_id,known_best_score,random_score,human_score
Alien-v5,741812.63,227.8,7127.7
Amidar-v5,31331.37,5.8,1719.5
Assault-v5,143972.03,222.4,742.0
Asterix-v5,999403.53,210.0,8503.3
Asteroids-v5,6785558.64,719.1,47388.7
Atlantis-v5,1674767.2,12850.0,29028.1
BankHeist-v5,38536.66,14.2,753.1
BattleZone-v5,992600.31,2360.0,37187.5
BeamRider-v5,4549993.53,363.9,16926.5
Berzerk-v5,85932.6,123.7,2630.4
Bowling-v5,260.13,23.1,160.7
Boxing-v5,100.0,0.1,12.1
Breakout-v5,864.0,1.7,30.5
Centipede-v5,1159049.27,2090.9,12017.0
ChopperCommand-v5,999900.0,811.0,7387.8
CrazyClimber-v5,729482.83,10780.5,35829.4
Defender-v5,839642.95,2874.5,18688.9
DemonAttack-v5,143964.26,152.1,1971.0
DoubleDunk-v5,24.0,-18.6,-16.4
Enduro-v5,2382.44,0.0,860.5
FishingDerby-v5,91.16,-91.7,-38.7
Freeway-v5,34.0,0.0,29.6
Frostbite-v5,631378.53,65.2,4334.7
Gopher-v5,130345.58,257.6,2412.5
Gravitar-v5,21068.03,173.0,3351.4
Hero-v5,114736.26,1027.0,30826.4
IceHockey-v5,86.89,-11.2,0.9
Jamesbond-v5,158142.36,29.0,302.8
Kangaroo-v5,37392.82,52.0,3035.0
Krull-v5,291043.06,1598.0,2665.5
KungFuMaster-v5,267766.63,258.5,22736.3
MontezumaRevenge-v5,19093.74,0.0,4753.3
MsPacman-v5,243401.1,307.3,6951.6
NameThisGame-v5,157177.85,2292.3,8049.0
Phoenix-v5,990638.12,761.4,7242.6
Pitfall-v5,18756.01,-229.4,6463.7
Pong-v5,21.0,-20.7,14.6
PrivateEye-v5,100314.44,24.9,69571.3
Qbert-v5,777071.3,163.9,13455.0
Riverraid-v5,323417.18,1338.5,17118.0
RoadRunner-v5,613659.42,11.5,7845.0
Robotank-v5,144.0,2.2,11.9
Seaquest-v5,999999.0,68.4,42054.7
Skiing-v5,-3851.44,-17098.1,-4336.9
Solaris-v5,67306.29,1236.3,12326.7
SpaceInvaders-v5,74335.3,148.0,1668.7
StarGunner-v5,998600.28,664.0,10250.0
Surround-v5,10.0,-10.0,6.5
Tennis-v5,24.0,-23.8,-8.3
TimePilot-v5,476763.9,3568.0,5229.2
Tutankham-v5,2354.91,11.4,167.6
UpNDown-v5,715545.61,533.4,11693.2
Venture-v5,2623.71,0.0,1187.5
VideoPinball-v5,999697.05,0.0,17667.9
WizardOfWor-v5,197126.0,563.5,4756.5
YarsRevenge-v5,999807.02,3092.9,54576.9
Zaxxon-v5,725853.9,32.5,9173.3
